Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
TEMP-001,Economic Development for a Growing Economy (EDGE) for Startups,Illinois Department of Commerce and Economic Opportunity,state,IL,,tax_credit,active,Enhanced in 2025,,,cash,Variable based on investment and job creation commitments,for_profit,Must be incorporated within 10 years,,No,Yes,No,Illinois-based operations and job creation required,https://dceo.illinois.gov/expandrelocate/incentives/edge-for-startups.html,EDGE for Startups,medium,"not_direct_hiring_incentive, value_estimate_uncertain",Program focuses on startup investment and job creation rather than direct hiring incentives for specific populations. Benefits targeted populations indirectly through job creation requirements.
TEMP-001,Various Disability Employment Support Programs,Illinois Department of Human Services Division of Rehabilitation Services,state,IL,,non_monetary,active,,disabled,,non_quantifiable,Variable; primarily non-monetary support with potential training reimbursements,"for_profit, non_profit, public",,,No,Yes,No,Illinois statewide,https://ides.illinois.gov/jobs-workforce/programs/disabilities.html,IDES Jobs & Workforce Programs for Disabilities,medium,value_estimate_uncertain,Program encompasses multiple disability employment support services. May require accommodation commitments from employers. Willingness to hire individuals with disabilities is key eligibility requirement.
TEMP-001,Re-Entry Rental Subsidy Supportive Housing Program,"Illinois Department of Corrections, Illinois Department of Human Services",state,IL,,risk_mitigation,active,,"justice_impacted, disabled",,non_quantifiable,Indirect benefit through employee stability,"for_profit, non_profit, public",,,Yes,No,No,Illinois statewide program for persons with disabilities who have a history of incarcerations,https://ilga.gov/documents/legislation/ilcs/documents/073000050K5-8A-4.2.htm,Illinois Compiled Statutes,low,not_direct_hiring_incentive,This is not a direct employer incentive program but rather a supportive housing program that may indirectly benefit employers through improved employee stability. No direct employer requirements or application process.
TEMP-002,Enterprise Zone Tax Credits,Illinois Department of Commerce and Economic Opportunity,state,IL,,tax_credit,active,,low_income,,cash,Amount not specified in research summary,"for_profit, non_profit, public",,,Yes,Yes,No,Benefits are geographically targeted to specific Enterprise Zones,,,low,"missing_source_url, value_estimate_uncertain",Geographically targeted to specific zones unlike other statewide programs. Serves disadvantaged residents in Enterprise Zones.
TEMP-004,WIOA On-the-Job Training,Illinois Department of Employment Security,state,IL,,wage_reimbursement,active,,"low_income, dislocated_worker",,cash,Wage reimbursement program - specific amounts not provided in research summary,"for_profit, non_profit, public",,,No,No,No,WIOA eligibility requirements apply,,,medium,"missing_source_url, value_estimate_uncertain",Federal WIOA program administered by state. Serves WIOA-eligible individuals including low-income and dislocated workers.
TEMP-005,RESP (Reentry Employment Support Program),,state,IL,,non_monetary,active,,justice_impacted,,non_quantifiable,Non-monetary support program,"for_profit, non_profit, public",,,No,No,No,Details not specified in research summary,,,low,missing_source_url,One of two non-monetary support programs identified. Serves justice-impacted individuals.
TEMP-006,Disability Services Program,,state,IL,,non_monetary,active,,disabled,,non_quantifiable,Non-monetary support program,"for_profit, non_profit, public",,,No,No,No,Details not specified in research summary,,,low,missing_source_url,Second of two non-monetary support programs identified. Serves individuals with disabilities.
TEMP-007,EDGE (Economic Development for a Growing Economy),Illinois Department of Commerce and Economic Opportunity,state,IL,,tax_credit,active,,,,cash,Indirect benefit program - specific hiring incentive amounts unclear,for_profit,,,No,No,No,Details not specified in research summary,,,low,"missing_source_url, not_direct_hiring_incentive",One of two indirect benefit programs identified. May not be a direct hiring incentive program.
TEMP-008,Re-entry Housing Program,,state,IL,,non_monetary,active,,justice_impacted,,non_quantifiable,Indirect benefit program providing housing support,"for_profit, non_profit, public",,,No,No,No,Details not specified in research summary,,,low,"missing_source_url, not_direct_hiring_incentive",Second of two indirect benefit programs identified. Provides housing support rather than direct hiring incentives.
TEMP-001,Workforce Training Solutions - New Hire Wage Subsidy,Lake County Workforce Development,local,IL,Lake County,wage_reimbursement,active,,long_term_unemployed,,cash,"Up to 6 months of full wage reimbursement or 1,000 hours (potentially $15,000-$30,000+ depending on wage levels)","for_profit, non_profit, public",,,No,Yes,No,Must qualify through Lake County Workforce Development,https://www.lakecountyil.gov/4001/Workforce-Training-Solutions,Workforce Training Solutions,high,value_estimate_uncertain,Specific employer eligibility requirements unclear from available information. Must qualify through Lake County Workforce Development process.
TEMP-001,WIOA On-The-Job Training Program,Kane County Workforce Development Division,local,IL,Kane County,wage_reimbursement,active,,"low_income, dislocated_worker, youth",,cash,Typically 50% wage reimbursement during training period - amounts vary by program design,"for_profit, non_profit, public",,,Yes,Yes,No,"Must be WIOA-eligible individuals in Kane County, Illinois",https://www.kanecountyil.gov/WDD/Documents/Policies/Policy%20-%20amended%20WIOA%20OJT%20%289-14-2022%29.pdf,Kane County WIOA OJT Policy (amended 9-14-2022),high,,"Employers must provide structured training program, demonstrate training necessity, and meet WIOA employer requirements. Federally-funded program with local administration."
TEMP-001,McLean County Reentry Employment Support,McLean County,local,IL,McLean County,non_monetary,active,,justice_impacted,,non_quantifiable,"Primarily supportive services, specific employer incentives not detailed","for_profit, non_profit, public",,,No,Yes,No,"McLean County, Illinois",https://www.mcleancountyil.gov/DocumentCenter/View/17321/McLean-County-Reentry-Directory,McLean County Reentry Directory,medium,not_direct_hiring_incentive,Program appears to be primarily supportive services rather than direct employer incentives. Facilitates connections between employers and justice-impacted individuals but specific incentive structure unclear.
TEMP-001,Land of Lincoln Workforce Alliance Training Programs,"Sangamon County, Land of Lincoln Workforce Alliance",local,IL,Sangamon County,training_grant,active,,"youth, dislocated_worker",,cash,Variable based on training costs and wage subsidies,"for_profit, non_profit, public",,,Yes,Yes,No,"Must be located in Sangamon County, Illinois",https://sangamonil.gov/departments/d-l/land-of-lincoln-workforce-alliance/training,Land of Lincoln Workforce Alliance Training,medium,value_estimate_uncertain,"WIOA-eligible participants include adults, dislocated workers, and youth. Must participate in approved training programs and meet WIOA employer standards."
TEMP-001,Chicago Enterprise Zone Program,City of Chicago Department of Planning and Development,local,IL,Chicago,tax_credit,active,,low_income,,cash,0.5% of wages - relatively modest but applicable to all new hires meeting criteria,"for_profit, non_profit, public",,,No,Yes,No,Must operate within designated Chicago enterprise zones and demonstrate employment increase,https://www.chicago.gov/content/dam/city/depts/dcd/general/housing1/EZincentivelist.pdf,Chicago Enterprise Zone Incentive List,high,missing_source_url,Requires demonstration of employment increase of at least 1% over previous year. Credit applies to 0.5% of wages for qualifying new hires.
TEMP-001,Shorewood Business Resources Workforce Development,City of Shorewood Community Development Department,local,IL,Shorewood,non_monetary,status_unclear,Listed as active but status unclear from limited information,,,non_quantifiable,Value unknown - appears to be workforce development resources rather than direct financial incentives,,,,No,Yes,No,"Shorewood, Illinois location required",https://shorewoodil.gov/departments/community_development_department/economic_development/business_resources.php,Shorewood Business Resources,low,"status_unclear, value_estimate_uncertain, not_direct_hiring_incentive",Program appears to focus on general workforce development resources rather than specific hiring incentives. Limited documentation available makes it difficult to determine exact program structure and benefits.
TEMP-001,Various Local WIOA Implementation Programs,Multiple local workforce development boards,local,IL,,wage_reimbursement,active,,"dislocated_worker, youth",,cash,"Typically 50% wage reimbursement for OJT, varies by local area","for_profit, non_profit, public",,,Yes,Yes,No,Various local workforce development areas throughout Illinois,https://dceo.illinois.gov/workforcedevelopment/programsandresources/wioa-works-illinois.html,WIOA Works Illinois,high,value_estimate_uncertain,Program requirements and values vary by local workforce development board. Employers must provide structured training and commit to retaining employees.
